SEMANA;CODIGO_COMUNA;PASO
2020-11-02;2203;3
2020-11-09;2203;3
2020-11-16;2203;3
2020-11-23;2203;3
2020-11-30;2203;3
2020-12-07;2203;3
2020-12-14;2203;3
2020-12-21;2203;3
2020-12-28;2203;3
2021-01-04;2203;3
2021-01-11;2203;3
2021-01-18;2203;3
2021-01-25;2203;3
2021-02-01;2203;2
2021-02-08;2203;2
2021-02-15;2203;2
2021-02-22;2203;2
2021-03-01;2203;2
2021-03-08;2203;2
2021-03-15;2203;2
2021-03-22;2203;2
2021-03-29;2203;3
2021-04-05;2203;3
2021-04-12;2203;3
2021-04-19;2203;3
2021-04-26;2203;3
2021-05-03;2203;3
2020-07-27;2301;1
2020-08-03;2301;1
2020-08-10;2301;2
2020-08-17;2301;2
2020-08-24;2301;2
2020-08-31;2301;2
2020-09-07;2301;2
2020-09-14;2301;2
2020-09-21;2301;2
2020-09-28;2301;2
2020-10-05;2301;3
2020-10-12;2301;3
2020-10-19;2301;3
2020-10-26;2301;3
2020-11-02;2301;3
2020-11-09;2301;3
2020-11-16;2301;3
2020-11-23;2301;3
2020-11-30;2301;3
2020-12-07;2301;3
2020-12-14;2301;3
2020-12-21;2301;3
2020-12-28;2301;3
2021-01-04;2301;3
2021-01-11;2301;3
2021-01-18;2301;2
2021-01-25;2301;2
2021-02-01;2301;1
2021-02-08;2301;1
2021-02-15;2301;1
2021-02-22;2301;1
2021-03-01;2301;1
2021-03-08;2301;2
2021-03-15;2301;2
2021-03-22;2301;2
2021-03-29;2301;2
2021-04-05;2301;2
2021-04-12;2301;2
2021-04-19;2301;3
2021-04-26;2301;3
2021-05-03;2301;3
2020-07-27;2302;3
2020-08-03;2302;3
2020-08-10;2302;3
2020-08-17;2302;3
2020-08-24;2302;3
2020-08-31;2302;3
2020-09-07;2302;3
2020-09-14;2302;3
2020-09-21;2302;3
2020-09-28;2302;3
2020-10-05;2302;3
2020-10-12;2302;3
2020-10-19;2302;3
2020-10-26;2302;3
2020-11-02;2302;3
2020-11-09;2302;3
2020-11-16;2302;3
2020-11-23;2302;3
2020-11-30;2302;3
2020-12-07;2302;3
2020-12-14;2302;3
2020-12-21;2302;3
2020-12-28;2302;3
2021-01-04;2302;3
2021-01-11;2302;3
2021-01-18;2302;3
2021-01-25;2302;3
2021-02-01;2302;2
2021-02-08;2302;2
2021-02-15;2302;2
2021-02-22;2302;2
2021-03-01;2302;2
2021-03-08;2302;3
2021-03-15;2302;3
2021-03-22;2302;3
2021-03-29;2302;2
2021-04-05;2302;2
2021-04-12;2302;2
2021-04-19;2302;2
2021-04-26;2302;2
2021-05-03;2302;2
2020-07-27;3101;1
2020-08-03;3101;1
2020-08-10;3101;1
2020-08-17;3101;1
2020-08-24;3101;1
2020-08-31;3101;1
2020-09-07;3101;1
2020-09-14;3101;1
2020-09-21;3101;1
2020-09-28;3101;2
2020-10-05;3101;2
2020-10-12;3101;2
2020-10-19;3101;2
2020-10-26;3101;2
2020-11-02;3101;3
2020-11-09;3101;3
2020-11-16;3101;3
2020-11-23;3101;3
2020-11-30;3101;3
2020-12-07;3101;3
2020-12-14;3101;4
2020-12-21;3101;4
2020-12-28;3101;4
2021-01-04;3101;3
2021-01-11;3101;2
2021-01-18;3101;2
2021-01-25;3101;2
2021-02-01;3101;1
2021-02-08;3101;1
2021-02-15;3101;2
2021-02-22;3101;2
2021-03-01;3101;2
2021-03-08;3101;2
2021-03-15;3101;2
2021-03-22;3101;2
2021-03-29;3101;2
2021-04-05;3101;1
2021-04-12;3101;1
2021-04-19;3101;1
2021-04-26;3101;1
2021-05-03;3101;1
2020-07-27;3102;3
2020-08-03;3102;3
2020-08-10;3102;3
2020-08-17;3102;3
2020-08-24;3102;3
2020-08-31;3102;3
2020-09-07;3102;3
2020-09-14;3102;3
2020-09-21;3102;3
2020-09-28;3102;3
2020-10-05;3102;3
2020-10-12;3102;3
2020-10-19;3102;3
2020-10-26;3102;3
2020-11-02;3102;3
2020-11-09;3102;3
2020-11-16;3102;3
2020-11-23;3102;3
2020-11-30;3102;3
2020-12-07;3102;3
2020-12-14;3102;4
2020-12-21;3102;4
2020-12-28;3102;4
2021-01-04;3102;4
2021-01-11;3102;3
2021-01-18;3102;3
